;;;
;;;
;;;
;;;
Reverse Study Update ;5;1;$3 200
Plaza Deck, Waterproof Membrane Replacement and Concrete Structure Repairs;6;2;$1 800 000
Pool & Spa Finish, Plaster;7;2;$17 550
Pumps, Domestics Cold Water, 7.5-HP;8;4;$36 000
Breezeways, Concrete, Repairs and Waterproof Coating Applications;9;5;$212 800
ROOFs, Modified Bitumen;10;5;$83 700
Life Safety System, Control Panel;11;5;$12 000
Life Safety System, Emergency Devices;12;5;$113 000
Balconies and Breezeways, Railings, Aluminium, Paint Finishes & Capital Repairs;13;6;$31 920
Furniture;14;9;$50 000
Mechanical Equipment, Phased;15;9;$46 000
Gutters and Dowmspouts, Aluminum;16;10;$27 000
Mailboxes;17;10;$16 800
Elevators, Hydraulic, Pumps & Controls;18;10;$160 000
Exhaust System;19;10;$44 000
Light Fixtures, Balconies and Breezeways;20;11;$45 000
Security System, Phased;21;11;$32 000
Plaza Deck, Pavers, and Waterproof Membrane, Interim Repairs;22;12;$84 000
Fences, Courtyard;23;12;$17 400
Balconies, Concrete, Repairs and Waterproof Coasting Application;24;13;$91 200
Elevator Cab Finishes;25;19;$20 000
Balconies and Breezeways, Railings, Aluminum;26;20;$248 640
Elevators, Hydraulic, Cylinders;27;20;$80 000
Doors, metal Frames, Commun;28;21;$75 200
Windows, Doors, Common;29;25;$77 000
Fire Suppression System;30;25;$188 000
Concrete, On-garde, Partial;31;29;$601 600
